x,y,z
10,14,24
22,17,17
19,1,12
2,9,12
18,16,23
3,5,10
21,16,21
10,3,14
28,3,16
18,6,15
12,7,14
14,12,4
21,13,15
18,9,20
21,5,11
12,6,18
19,5,18
5,16,16
8,12,7
6,12,14
12,9,23
23,14,8
6,4,10
14,15,15
8,16,14
21,8,22
14,18,20
5,17,17
7,9,6
5,9,13
12,10,24
6,5,11
4,5,12
14,7,10
6,16,20
16,19,14
14,19,21
23,6,9
14,11,17
7,18,11
7,10,7
23,17,18
23,9,14
16,8,4
14,8,11
21,1,18
8,8,14
23,10,15
23,2,11
10,17,11
10,9,7
16,12,10
9,5,6
16,4,6
19,8,6
27,5,14
5,5,20
7,16,22
27,8,19
8,12,20
14,3,17
19,11,11
8,4,16
16,15,21
10,10,8
16,7,17
10,2,4
9,6,7
10,21,17
25,13,18
10,13,13
23,5,21
29,9,13
27,9,20
19,12,12
18,13,8
12,14,7
18,5,4
25,6,15
26,2,12
23,6,22
18,16,13
29,10,14
25,9,20
10,5,14
21,16,11
16,8,17
10,16,23
26,3,13
18,6,5
2,11,11
21,15,15
3,7,9
19,15,22
1,7,16
19,7,18
18,9,10
26,6,18
12,6,8
25,2,17
12,17,17
12,9,13
10,9,20
2,12,12
22,12,13
22,4,9
3,8,10
21,8,12
19,8,19
14,18,10
3,11,15
6,15,15
12,10,14
18,1,11
6,18,20
12,2,10
18,12,20
24,16,12
18,4,16
22,16,19
14,19,11
14,11,7
21,12,18
21,4,14
8,19,14
2,7,18
8,11,10
22,5,9
6,11,17
18,5,17
7,12,6
5,12,13
12,13,24
5,4,9
12,5,20
4,8,12
8,20,15
16,11,5
16,14,10
14,14,17
14,6,13
7,13,7
23,12,14
5,5,10
9,16,5
12,6,21
7,16,12
25,16,14
5,16,19
8,12,10
14,3,7
23,16,21
8,4,6
16,15,11
6,4,13
14,15,18
16,7,7
23,13,15
9,17,6
8,15,21
23,5,11
8,7,17
7,9,9
10,20,11
14,7,13
5,8,20
23,6,12
26,13,11
16,18,21
25,9,10
16,10,17
23,9,17
10,5,4
14,10,24
8,11,23
12,16,6
10,16,13
23,8,21
18,19,14
27,12,20
19,15,12
25,12,21
27,4,16
8,8,17
19,7,8
16,11,18
16,3,14
12,17,7
18,8,4
10,17,14
16,14,23
26,5,12
10,9,10
25,1,11
1,10,17
23,1,18
18,11,9
9,5,9
27,5,17
19,8,9
28,9,12
21,19,11
12,20,18
19,11,14
18,20,14
18,12,10
25,13,21
26,1,14
18,4,6
3,14,16
25,5,17
12,12,13
21,4,4
10,12,20
12,4,9
22,15,13
10,4,16
21,11,12
21,3,8
22,18,18
19,3,15
21,14,17
19,6,20
12,13,14
12,5,10
10,5,17
18,15,20
12,16,19
18,7,16
2,11,14
14,14,7
